Plant ID,Plant name (English),Owner,Owner GEM ID,Parent,Parent GEM ID,Subnational unit (province/state),Country/Area,Region,Plant age (years),Start date,Workforce size,Status,Nominal crude steel capacity (ttpa),Latitude_plant,Longitude_plant,geometry,environmental_indicator,Latitude_station,Longitude_station,distance_km,environmental_indicator_log
P100000120062,Gerdau Whitby Steel Mill,Gerdau Ameristeel Corp,E100001010298,Gerdau SA [98.2%],E100001010270 [98.2%],Ontario,Canada,North America,61,1964,385,operating,1100,43.856461,-78.908997,POINT (-8784109.365047952 5443255.995687741),54845.716740088894,23.875,68.20833333,16598.928,10.912
P100000120063,Ivaco Rolling Mills steel plant,Ivaco Rolling Mills 2004 LP,E100000130855,Heico Companies LLC,E100000130934,Ontario,Canada,North America,54,1971,500,operating,650,45.613941,-74.704608,POINT (-8316078.922471111 5718697.364891143),54845.716740088894,23.875,68.20833333,16185.784,10.912
P100000120064,Rio Tinto Fer et Titane steel plant,Rio Tinto Iron and Titanium Canada Inc,E100000131063,Rio Tinto PLC [100.0%],E100000001119 [100.0%],Quebec,Canada,North America,75,1950,1400,operating,600,46.044367,-73.138474,POINT (-8141737.683077078 5787461.915902256),54845.716740088894,23.875,68.20833333,16027.397,10.912
P100000120067,AZA Colina steel plant,Aceros AZA SA,E100000131104,Ingenieria e Inversiones Ltda; Inversiones Los Andes SA; Inversiones Reyosan SpA; Matco Cables SpA,E100000131059; E100000131168; E100000131169; E100000131163,Región Metropolitana,Chile,Central & South America,26,,612,operating,520,-33.294729,-70.727881,POINT (-7873391.697807248 -3934489.9694941035),64633.832128563045,23.625,68.20833333,16832.303,11.077
P100000120163,Angang Group Xinyang Iron and Steel Co Ltd,"Xinyang Iron & Steel Co.,ltd of Angang Group",E100000127277,natural person(s) [65.2%]; Henan PROVINCE HENGCHANG Trading Co Ltd [15.8%]; unknown [10.4%]; Henan State Owned Capital Operation Group Co Ltd [8.6%],E100000123261 [65.2%]; E100000127609 [15.8%]; E100000132388 [10.4%]; E100000125158 [8.6%],Henan,China,Asia Pacific,54,1971,3992,operating,3600,32.488704,114.038243,POINT (12694679.141719593 3827632.9682032377),382250327.83036226,32.45833333,114.04166667,4.026,19.762
P100000120089,Angang Lianzhong Stainless Steel Co Ltd,Angang Lianzhong Stainless Steel Corp,E100000127397,Ansteel Group Co Ltd [60.0%]; Lianzhong Co Ltd [18.2%]; power rich Co Ltd [17.4%]; unknown [4.4%],E100000124667 [60.0%]; E100000130687 [18.2%]; E100000130686 [17.4%]; E100000132388 [4.4%],Guangdong,China,Asia Pacific,24,2001,1764,operating,1900,23.126822,113.505817,POINT (12635409.750514494 2647362.8352180184),23605391215.706425,23.125,113.54166667,3.997,23.885
P100000120219,Angang Steel Co Ltd,Angang Steel Co Ltd,E100000126769,Angang Steel Co Ltd [100.0%],E100000126769 [100.0%],Liaoning,China,Asia Pacific,27,,31456,operating,20650,41.148267,122.983054,POINT (13690410.947481666 5034235.67141613),44422407772.444046,41.125,122.95833333,4.405,24.517
P100000120220,Angang Steel Co Ltd Bayuquan branch,Angang Steel Co Ltd,E100000126769,Angang Steel Co Ltd [100.0%],E100000126769 [100.0%],Liaoning,China,Asia Pacific,19,2006,4072,operating,7500,40.308494,122.13079,POINT (13595537.352980228 4910873.578584931),6209926726.154055,40.29166667,122.125,2.539,22.549
P100000120070,Anhui Changjiang Steel Co Ltd,Anhui Changjiang Steel Co Ltd,E100000123155,Maanshan Iron & Steel Co Ltd [55.0%]; natural person(s) [37.2%]; unknown [7.8%],E100000123737 [55.0%]; E100000123261 [37.2%]; E100000132388 [7.8%],Anhui,China,Asia Pacific,22,2003,3886,operating,3800,31.502272,118.465162,POINT (13187481.510582663 3698151.9630401204),2369022303.7466125,31.54166667,118.45833333,5.2,21.586
P100000120071,Anhui Guihang Special Steel Co Ltd,Anhui Guihang Special Steel Co Ltd,E100000126525,Anhui Guihang Special Steel Co Ltd [100.0%],E100000126525 [100.0%],Anhui,China,Asia Pacific,15,,2437,operating,2700,30.531068,117.251147,POINT (13052337.978967268 3571997.974837498),189683194.67400867,30.54166667,117.29166667,4.714,19.061
