Owner,total_capacity,plant_count,avg_environment,avg_environment_log,country_count,country_names,Latitude_plant,Longitude_plant,Nominal crude steel capacity (ttpa),Subnational unit (province/state),Country/Area,distance_km
Osaka Steel Co Ltd,3450,1,254812052510.10464,26.264,1,['Japan'],34.59822,135.45439,3450,Osaka,Japan,3.649
Henan Jiyuan Iron & Steel (Group) Co Ltd,3428,1,3421395276.0751696,21.953,1,['China'],35.086396,112.553774,3428,Henan,China,5.423
Daye SPECIAL Steel Co Ltd,3420,1,5065987125.999837,22.346,1,['China'],30.204603,115.125838,3420,Hubei,China,0.489
Tangshan Donghua Iron & Steel Enterprise Group Co Ltd,3400,1,438464931.03294915,19.899,1,['China'],39.468366,118.256774,3400,Hebei,China,4.145
Guangxi BG New Materials Co Ltd,3400,1,490660026.3866026,20.011,1,['China'],21.519924,109.506427,3400,Guangxi,China,4.707
Linyi Iron and Steel Investment Group Co Ltd,3400,1,212520272.51501238,19.175,1,['China'],35.15735,119.133999,3400,Shandong,China,4.516
ArcelorMittal South Africa Ltd,3360,1,1847515865.9183831,21.337,1,['South Africa'],-26.657367,27.82231,3360,Gauteng,South Africa,6789.662
Yangzhou Hengrun Ocean Heavy Industry Co Ltd,3300,1,1835372768.9161925,21.331,1,['China'],32.249602,119.620438,3300,Jiangsu,China,5.454
JSW Vijayanagar Metallics Ltd,3300,1,334841572.46645224,19.629,1,['India'],15.203176,76.659122,3300,Karnataka,India,3.845
Rockcheck Steel Group Co Ltd,3250,1,8170303829.634859,22.824,1,['China'],38.970638,117.495794,3250,Tianjin,China,4.527
Hubei Jinshenglan Metallurgical Technology Co Ltd,3250,1,96700424.06712171,18.387,1,['China'],29.916729,113.822921,3250,Hubei,China,6.377
Baosteel Desheng Stainless Steel Co Ltd,3220,1,53661889.35483706,17.798,1,['China'],26.48747,119.654461,3220,Fujian,China,7.007
Al Ezz Dekheila Steel Company Alexandria SAE,3200,1,54845.716740088894,10.912,1,['Egypt'],31.123467,29.80987,3200,Alexandria,Egypt,4370.416
BlueScope Steel Ltd,3200,1,1853170.5258897757,14.432,1,['Australia'],-34.463834,150.886191,3200,New South Wales,Australia,7244.285
Nucor Yamato Steel Co,3174,1,54845.716740088894,10.912,1,['United States'],35.941421,-89.713819,3174,Arkansas,United States,17648.398
Nghi Son VAS Group JSC,3150,1,616052.5720105489,13.331,1,['Vietnam'],19.326924,105.777449,3150,Thanh Hoa,Vietnam,324.816
Nucor Steel Decatur LLC,3100,1,54845.716740088894,10.912,1,['United States'],34.63963,-87.085738,3100,Alabama,United States,17341.999
Izmir Demir Celik Sanayi AŞ,3100,1,603655.6002061085,13.311,1,['Türkiye'],38.739596,26.929091,3100,İzmir,Türkiye,4988.98
Guangxi Longzhou Zhongheng Wanhua Industrial Co Ltd,3075,2,14775761.727532735,16.4935,1,['China'],23.987136,111.914197,1725,Guangxi,China,5.599
Zhuhai Yueyufeng IRON&STEEL Co Ltd,3051,1,2524762539.6796427,21.649,1,['China'],21.96092,113.198718,3051,Guangdong,China,19.735
Jiangsu Xusteel Group Co Ltd,3050,1,536146471.99254227,20.1,1,['China'],34.577016,117.339638,3050,Jiangsu,China,6.191
North Star BlueScope Steel Ltd,3034,1,54845.716740088894,10.912,1,['United States'],41.568783,-84.048129,3034,Ohio,United States,17112.409
Hebei Tianzhu Iron and Steel Group Special Steel Co Ltd,3034,1,658638310.9064554,20.306,1,['China'],39.270032,119.01376,3034,Hebei,China,4.397
